case_id,candidate,judge,sample,parse_ok,conflict_insight,market_read_accuracy,strategy_direction,target_portrait_match,persona_read,logic_depth,insight_nonobviousness,risk_anti_pattern,actionability,A_avg,B_avg,overall,comment
鳌烨104,student_noskill,gpt-5.5,0,True,4.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,2.4,2.5,2.444,主要差距是把高风险剥削局误判成可包装投放局，未抓住应暂停相亲、先完成个人增值与风险隔离的核心策略。
鳌烨104,student_noskill,gemini-3.1-pro,0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,待评分析充满盲目的职场包装思维，完全无视重男轻女家庭与弟弟带来的极端风险，建议其展现‘能养家’和‘照顾家庭’无异于主动招惹吸血盘剥者，给出了极其危险且脱离真实婚恋市场的建议。
鳌烨104,student_noskill,deepseek-v4-pro,0,True,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.2,1.25,1.222,完全误判市场剥削性，策略与专家背道而驰，将需要停止相亲的她推入包装陷阱，忽略二次剥削致命风险。
鳌烨101,student_noskill,gpt-5.5,0,True,5.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.6,3.75,3.667,主要差距是漏掉绿卡被收割、文身作为筛选器及传统市场严重折价等关键风险，且对“传统根基”和精英华人圈层的互斥性略有过度绝对化。
鳌烨101,student_noskill,gemini-3.1-pro,0,True,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,4.0,5.0,3.5,4.333,精准洞察了精英议价权与传统诉求互斥的底层结构性矛盾，推理极具深度，但致命缺陷是完全忽视了绿卡与A8.5资产带来的'被收割'高危风险。
鳌烨101,student_noskill,deepseek-v4-pro,0,True,5.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,4.6,3.5,4.111,待评分析命中了结构性错位的核心矛盾，但未识别出专家指出的'绿卡被收割诱饵'和'文身作为筛选过滤器'等关键风险与策略细节，风险意识薄弱。
鳌烨103,student_noskill,gpt-5.5,0,True,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.8,3.0,3.444,整体命中了高硬件与强防御/带娃包袱的主线，但遗漏了专家最关键的财富分配冲突、沉淀三年与财产计划透明化策略，且部分建议偏泛泛。
鳌烨103,student_noskill,gemini-3.1-pro,0,True,2.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,2.2,1.5,1.889,未能洞察前妻过错造成的深层创伤及8岁子女引发的财富分配核心冲突，错将包装掩饰当成对策（如将带娃视为加分项），通篇充斥表面标签与空泛口号。
鳌烨103,student_noskill,deepseek-v4-pro,0,True,4.0,3.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,3.25,3.667,主要差距：未识别女儿引发的财富分配冲突这一核心障碍，且策略缺少沉淀期与财产透明等关键要素
鳌烨106,student_noskill,gpt-5.5,0,True,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.6,3.25,3.444,主要差距是低估了三甲医生在本地富裕/体制内婚恋渠道中的向上兼容能力，策略和对象画像偏保守，缺少“富裕家庭换社会地位”的关键洞察。
