case_id,candidate,judge,sample,parse_ok,conflict_insight,market_read_accuracy,strategy_direction,target_portrait_match,persona_read,logic_depth,insight_nonobviousness,risk_anti_pattern,actionability,A_avg,B_avg,overall,comment
鳌烨103,student_skill,gpt-5.5,0,True,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,整体命中硬件优势与防御/带娃资源分配矛盾，但未把8岁女儿导致的财富分配博弈置于最核心，且3-6个月修复、城市层级和减重等存在一定无依据延展。
鳌烨103,student_skill,gemini-3.1-pro,0,True,2.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.2,1.5,1.889,大量生搬硬套预设模板（如‘久单’‘减重’），无视‘前妻净身出户’的背叛创伤与带8岁娃的实质阻力，分析浮于套话且事实错位。
鳌烨103,student_skill,deepseek-v4-pro,0,True,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,无明显差距，分析在专家基础上延展出更深的心理机制与精细可落地方案，质量极高
鳌烨118,student_skill,gpt-5.5,0,True,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.2,3.5,3.333,主要差距是把专家的“情感诉求与生存不稳定矛盾”过度改写成“筹码不足想攀高位”，高位男/一线城市等判断缺乏输入依据，导致策略和市场估值有一定偏移。
鳌烨118,student_skill,gemini-3.1-pro,0,True,1.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,1.8,2.0,1.889,待评分析生搬硬套‘高攀’模板，将客户追求‘有趣’误读为‘想攀高位’，导致核心矛盾与性格误判，且出现‘没资产却防男方图钱’的逻辑矛盾。
鳌烨118,student_skill,deepseek-v4-pro,0,True,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,无显著差距，待评分析准确命中并深化了专家判断，各维度几乎无可挑剔。
鳌烨115,student_skill,gpt-5.5,0,True,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.8,4.0,3.889,主要差距是把核心矛盾过度改写为“人群错配”，且引入无房、高知/高颜值等输入依据不足的判断，对情绪价值短板和自由恋爱低存在感的点题不够精准。
鳌烨115,student_skill,gemini-3.1-pro,0,True,4.0,4.0,4.0,5.0,4.0,3.0,2.0,4.0,3.0,4.2,3.0,3.667,命中大多数关键点，但AI八股味极重，堆砌生造词汇（如人群错配、确定性资产），缺乏如专家‘资产是壳，情绪价值是魂’的穿透性洞察，且部分建议（如去社群自然接触）对木讷理工男落地难度太大。
鳌烨115,student_skill,deepseek-v4-pro,0,True,3.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,3.8,4.5,4.111,主要差距是未抓住‘工具人思维忽视情绪价值’的深层动机，核心矛盾表述偏离专家总结的‘生存能力极强与情感互动极弱’。
鳌烨114,student_skill,gpt-5.5,0,True,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.8,3.75,3.778,整体抓住了负债与供养压力导致婚恋对价错配的核心，但策略上弱化了专家最关键的“处理资产、降低杠杆”，且部分判断如外形红利、高净值圈层略显拔高和啰嗦。
鳌烨114,student_skill,gemini-3.1-pro,0,True,3.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.2,1.75,2.0,待评分析沉迷生造黑话且自相矛盾，错误地建议高负债女性去混高净值圈子，完全偏离了专家‘处理资产降杠杆、找同路人’的务实方向。
鳌烨114,student_skill,deepseek-v4-pro,0,True,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.8,5.0,4.889,待评分析深度与洞察出色，但策略方向未触及专家强调的‘处理资产降低杠杆’这一根本动作，仅靠经济补强和外形红利难以化解高负债的实质枷锁。
鳌烨101,student_skill,gpt-5.5,0,True,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.6,3.75,3.667,主要差距在于把核心根因偏移为“情感互动能力缺失”，弱化了专家强调的海外顶级独立身份与传统择偶价值观的结构性错位，以及绿卡/资产带来的被收割风险。
鳌烨101,student_skill,gemini-3.1-pro,0,True,5.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,3.0,4.8,3.25,4.111,精准命中独立飒女与传统家庭的结构性错位，但完全漏掉了A8.5+绿卡身份面临的致命风险（被收割/杀猪盘），且落地建议带有明显的套模板痕迹。
鳌烨101,student_skill,deepseek-v4-pro,0,True,5.0,3.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,4.4,4.25,4.333,市场估值未区分海外与国内市场的折价差异，且风险识别未抓住被收割诱饵
鳌烨120,student_skill,gpt-5.5,0,True,4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,3.4,4.0,3.667,主要差距在于把专家强调的高净值成熟男性与精神独立策略，改写成同龄/同经济层级陪伴型对象，目标画像明显偏离，并未充分点出低生活抗风险能力这一核心根源。
鳌烨120,student_skill,gemini-3.1-pro,0,True,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.4,1.5,1.444,严重依赖套路模板，无中生有‘久单’‘颜控’等条件，导致诊断与策略完全脱离女方高颜值的实际杀伤力与跨越诉求。
鳌烨120,student_skill,deepseek-v4-pro,0,True,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,4.4,5.0,4.667,理想对象画像明显偏离专家建议（同龄平视 vs 35-40高净值），降低了向上跨越的路径匹配度。
鳌烨107,student_skill,gpt-5.5,0,True,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.6,4.0,3.778,主要差距在于策略重心偏向形象/情绪价值增值与锁定技巧，弱化了专家强调的打破多金纯真幻想、社交审计和防情感操纵。
鳌烨107,student_skill,gemini-3.1-pro,0,True,5.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.4,3.0,3.222,准确指出了慕强又慕单纯的锁死矛盾，但未识别出“高资产+单纯”极易招惹情感操纵的致命风险，且脱离事实捏造了“减重”的套话建议。
鳌烨107,student_skill,deepseek-v4-pro,0,True,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.6,5.0,4.778,理想画像与专家参考答案描述不一致，待评分析推稳重理性而专家文本仍为直球型，略有偏离。
鳌烨121,student_skill,gpt-5.5,0,True,4.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,3.2,3.75,3.444,主要差距在于市场估值对35岁生育审计偏乐观，策略也偏向继续同温层内筛选，未命中专家强调的跨学科扩圈与二婚优秀男选项。
鳌烨121,student_skill,gemini-3.1-pro,0,True,4.0,2.0,3.0,1.0,4.0,1.0,3.0,4.0,1.0,2.8,2.25,2.556,分析严重模板化且逻辑自相矛盾（理想对象推荐创业男，逻辑链又强调坚决不找创业男），同时误判了35岁在婚恋生育市场的残酷贬值现实。
鳌烨121,student_skill,deepseek-v4-pro,0,True,5.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.444,策略停留在学术圈内向下兼容，与专家建议的跨学科圈层及二婚优秀男方向有偏差；理想画像放宽至非博士生产者，未紧扣专家强调的博士学历同频圈；市场估值对年龄风险略有美化。
鳌烨123,student_skill,gpt-5.5,0,True,3.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,3.2,3.75,3.444,主要差距是把案例过度解释成“外形消费品换现金流”的交易错配，弱化了专家强调的情绪敏感、自媒体人格波动性与长期生活稳定性之间的核心矛盾。
鳌烨123,student_skill,gemini-3.1-pro,0,True,3.0,2.0,3.0,3.0,2.0,3.0,5.0,5.0,2.0,2.6,3.75,3.111,提出了‘电子宠物’等极为深刻且精准的风险洞察，但生搬硬套男性视角的硬资产评估框架（如评估其被有房女筛掉、要求女方先买房再相亲），导致市场误判与实操建议脱离实际。
鳌烨123,student_skill,deepseek-v4-pro,0,True,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.4,5.0,4.667,persona解读偏策略化，未深入其情绪敏感与对枯燥的深层恐惧，停留在筹码交换层面。
鳌烨106,student_skill,gpt-5.5,0,True,1.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,2.4,3.0,2.667,主要差距是把核心矛盾误判为低主动性格错配，忽略了专家强调的寒门起步与医生长期确定性的结构矛盾，以及可向上兼容本地优渥家庭的关键策略。
鳌烨106,student_skill,gemini-3.1-pro,0,True,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1.444,分析严重脱离事实，凭空捏造男主“回避社交”的性格缺陷并以此推演，完全错失了“寒门医生利用职业光环向上兼容富裕家庭”的核心盘面与战略方向。
鳌烨106,student_skill,deepseek-v4-pro,0,True,3.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,3.4,4.75,4.0,核心矛盾误判为性格错配，未抓住专家指出的家境薄弱与长期确定性的矛盾，导致策略保守，对象画像未体现向上兼容
鳌烨112,student_skill,gpt-5.5,0,True,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.6,3.5,3.556,主要差距是把案例无依据地改写成“硬件够却久单/情绪价值弱”的软资产问题，偏离专家强调的“硬件溢出但预支焦虑、缺博弈经验”的核心结构。
鳌烨112,student_skill,gemini-3.1-pro,0,True,2.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.75,2.889,严重依赖情感博弈类固定模板与黑话（如强行无中生有设定'久单'、'甩锅'），导致脱离实际输入事实，逻辑推导牵强，掩盖了针对客户独特境遇的真实洞察。
鳌烨112,student_skill,deepseek-v4-pro,0,True,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,4.2,5.0,4.556,策略方向误将增值软资产凌驾于专家“专注学业停止焦虑”的即时重心，且对象画像未锚定本地独生子。
鳌烨105,student_skill,gpt-5.5,0,True,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,整体命中“低市场竞争力与高门槛错位”，但未突出应立即回头联系被拒有房男、提升外形，并把“三个孩子”表述成需男方接纳的现实存在事实歧义。
